"","Mort_C","Strain","Insecticide"
"124",0.0141917958855211,"Kisumu","Permethrin"
"125",0.00523990812715822,"Kisumu","Permethrin"
"126",0.00274927873955803,"Kisumu","Permethrin"
"127",0.00550646626473601,"Kisumu","Permethrin"
"128",0.00246590869974135,"Kisumu","Permethrin"
"129",0.0141275556022121,"Kisumu","Permethrin"
"130",0.00506510565231166,"Kisumu","Permethrin"
"131",0.00517503477374045,"Kisumu","Permethrin"
"132",0.00139506031944779,"Kisumu","Permethrin"
"133",0.00108986878637618,"Kisumu","Permethrin"
"134",0.0121825533519428,"Kisumu","Permethrin"
"135",0.0156691267258851,"Kisumu","Permethrin"
"136",0.00899249832828538,"Kisumu","Permethrin"
"137",0.00982809787128204,"Kisumu","Permethrin"
"138",0.00326884178438939,"Kisumu","Permethrin"
"139",0.00309094962191978,"Kisumu","Permethrin"
"140",0.00632605735402373,"Kisumu","Permethrin"
"141",0.00787496942158604,"Kisumu","Permethrin"
"142",0.00573107988092242,"Kisumu","Permethrin"
"143",0.00791033289261438,"Kisumu","Permethrin"
"144",0.016684201545214,"Kisumu","Permethrin"
"145",0.00426575980629682,"Kisumu","Permethrin"
"146",0.00984827010091649,"Kisumu","Permethrin"
"147",0.00955902742472726,"Kisumu","Permethrin"
"148",0.00459827519104395,"Kisumu","Permethrin"
"149",0.00805536048955867,"Kisumu","Permethrin"
"150",0.00299191767427437,"Kisumu","Permethrin"
"151",0.00900968247954738,"Kisumu","Permethrin"
"152",0.00900730633930577,"Kisumu","Permethrin"
"153",0.00365523980300951,"Kisumu","Permethrin"
"154",0.00701967738755316,"Kisumu","Permethrin"
"155",0.0145600080346813,"Kisumu","Permethrin"
"156",0.00360586889894029,"Kisumu","Permethrin"
"157",0.00436798971786625,"Kisumu","Permethrin"
"158",0.00874954016422438,"Kisumu","Permethrin"
"159",0.00450112294559228,"Kisumu","Permethrin"
"160",0.00928697097840036,"Kisumu","Permethrin"
"161",0.00388789044573941,"Kisumu","Permethrin"
"162",0.00519311051961343,"Kisumu","Permethrin"
"163",0.00456763541398041,"Kisumu","Permethrin"
"164",0.00965579007969057,"Kisumu","Permethrin"
"165",0.0148720982600657,"Kisumu","Permethrin"
"166",0.0134644567592616,"Kisumu","Permethrin"
"167",0.00504985952007944,"Kisumu","Permethrin"
"168",0.00376294587455013,"Kisumu","Permethrin"
"169",0.007901044699422,"Kisumu","Permethrin"
"170",0.00664339038650696,"Kisumu","Permethrin"
"171",0.00505955714001107,"Kisumu","Permethrin"
"172",0.0102949710994681,"Kisumu","Permethrin"
"173",0.00336071302193986,"Kisumu","Permethrin"
"174",0.00716719840003576,"Kisumu","Permethrin"
"175",0.00532934052281591,"Kisumu","Permethrin"
"176",0.00682439132420173,"Kisumu","Permethrin"
"177",0.0259671123223956,"Kisumu","Permethrin"
"178",0.00989857953548965,"Kisumu","Permethrin"
"179",0.00910272592741875,"Kisumu","Permethrin"
"180",0.0122351155014012,"Kisumu","Permethrin"
"181",0.0239334482048971,"Kisumu","Permethrin"
"182",0.0114519675892883,"Kisumu","Permethrin"
"183",0.0222408107888453,"Kisumu","Permethrin"
"184",0.00290527645002635,"Kisumu","Permethrin"
"185",0.00405380631593487,"Kisumu","Permethrin"
"186",0.0163452674591567,"Kisumu","Permethrin"
"187",0.0105367920325291,"Kisumu","Permethrin"
"188",0.0119282937284511,"Kisumu","Permethrin"
"189",0.00783830062298458,"Kisumu","Permethrin"
"190",0.00920021266330139,"Kisumu","Permethrin"
"191",0.00699255209536319,"Kisumu","Permethrin"
"192",0.00552015978083884,"Kisumu","Permethrin"
"193",0.0035686115864817,"Kisumu","Permethrin"
"194",0.0100553858148712,"Kisumu","Permethrin"
"195",0.00307842827368605,"Kisumu","Permethrin"
"196",0.00682447780972431,"Kisumu","Permethrin"
"197",0.0075630240095656,"Kisumu","Permethrin"
"198",0.00463246469925626,"Kisumu","Permethrin"
"199",0.00626903181121321,"Kisumu","Permethrin"
"200",0.00751872853820995,"Kisumu","Permethrin"
"201",0.00532615417162675,"Kisumu","Permethrin"
"202",0.0120959290656433,"Kisumu","Permethrin"
"203",0.00851099864198623,"Kisumu","Permethrin"
"204",0.00620208187013797,"Kisumu","Permethrin"
"205",0.00822764422701895,"Kisumu","Permethrin"
"206",0.00410891153113479,"Kisumu","Permethrin"
"207",0.00429242191861663,"Kisumu","Permethrin"
"208",0.00650248104654144,"Kisumu","Permethrin"
"209",0.00956381209433152,"Kisumu","Permethrin"
"210",0.0159544356857276,"Kisumu","Permethrin"
"211",0.0115147076758378,"Kisumu","Permethrin"
"212",0.0182248844100737,"Kisumu","Permethrin"
"213",0.00257906548021149,"Kisumu","Permethrin"
"214",0.00417659256875974,"Kisumu","Permethrin"
"215",0.00659328257346972,"Kisumu","Permethrin"
"216",0.0106918695550097,"Kisumu","Permethrin"
"217",0.00542556716010216,"Kisumu","Permethrin"
"218",0.0103870173488757,"Kisumu","Permethrin"
"219",0.00332527013340601,"Kisumu","Permethrin"
"220",0.00395475688792234,"Kisumu","Permethrin"
"221",0.00955895695273659,"Kisumu","Permethrin"
"222",0.0078586754008954,"Kisumu","Permethrin"
"223",0.00762152152653241,"Kisumu","Permethrin"
"224",0.00978896606637058,"Kisumu","Permethrin"
"225",0.0069701795706515,"Kisumu","Permethrin"
"226",0.00441216562750035,"Kisumu","Permethrin"
"227",0.00634619383316845,"Kisumu","Permethrin"
"228",0.00166692214253372,"Kisumu","Permethrin"
"229",0.00389852816403317,"Kisumu","Permethrin"
"230",0.00415457119884271,"Kisumu","Permethrin"
"231",0.00718457071754973,"Kisumu","Permethrin"
"232",0.0107032701933076,"Kisumu","Permethrin"
"233",0.00211774728188594,"Kisumu","Permethrin"
"234",0.00601634266233221,"Kisumu","Permethrin"
"235",0.00323878276980195,"Kisumu","Permethrin"
"236",0.00694094513324358,"Kisumu","Permethrin"
"237",0.0103083327062478,"Kisumu","Permethrin"
"238",0.00168412732439836,"Kisumu","Permethrin"
"239",0.0089350605860397,"Kisumu","Permethrin"
"240",0.00686113543318285,"Kisumu","Permethrin"
"241",0.00508981524644353,"Kisumu","Permethrin"
"242",0.0117340943627064,"Kisumu","Permethrin"
