"","LC","LC_value","Strain","Insecticide"
"1",1.12275876149447e-05,10,"Kisumu","Permethrin"
"2",1.63249009959133e-05,10,"Kisumu","Permethrin"
"3",8.253832112275e-06,10,"Kisumu","Permethrin"
"4",1.1887111965518e-05,10,"Kisumu","Permethrin"
"5",1.10705625596884e-05,10,"Kisumu","Permethrin"
"6",7.85271860813196e-06,10,"Kisumu","Permethrin"
"7",1.37596756118962e-05,10,"Kisumu","Permethrin"
"8",1.3982235463034e-05,10,"Kisumu","Permethrin"
"9",1.03043471084266e-05,10,"Kisumu","Permethrin"
"10",1.39610852797334e-05,10,"Kisumu","Permethrin"
"11",7.36179464082734e-06,10,"Kisumu","Permethrin"
"12",1.16244674666406e-05,10,"Kisumu","Permethrin"
"13",5.96498484465812e-06,10,"Kisumu","Permethrin"
"14",7.51116848039937e-06,10,"Kisumu","Permethrin"
"15",1.3190320625682e-05,10,"Kisumu","Permethrin"
"16",7.49968353065257e-06,10,"Kisumu","Permethrin"
"17",9.68170847704471e-06,10,"Kisumu","Permethrin"
"18",1.30322837843018e-05,10,"Kisumu","Permethrin"
"19",1.05208104195951e-05,10,"Kisumu","Permethrin"
"20",1.59500472516763e-05,10,"Kisumu","Permethrin"
"21",8.19884676167484e-06,10,"Kisumu","Permethrin"
"22",7.39411594844242e-06,10,"Kisumu","Permethrin"
"23",2.05861600864638e-05,10,"Kisumu","Permethrin"
"24",9.37966380088399e-06,10,"Kisumu","Permethrin"
"25",8.09349958964279e-06,10,"Kisumu","Permethrin"
"26",7.45801616535366e-06,10,"Kisumu","Permethrin"
"27",1.22974430825148e-05,10,"Kisumu","Permethrin"
"28",1.00502369911509e-05,10,"Kisumu","Permethrin"
"29",1.08198003332178e-05,10,"Kisumu","Permethrin"
"30",1.39702255431537e-05,10,"Kisumu","Permethrin"
"31",1.10674668378052e-05,10,"Kisumu","Permethrin"
"32",8.81712975543785e-06,10,"Kisumu","Permethrin"
"33",8.46746523790141e-06,10,"Kisumu","Permethrin"
"34",1.06986189630746e-05,10,"Kisumu","Permethrin"
"35",9.88729526489307e-06,10,"Kisumu","Permethrin"
"36",1.31761291438142e-05,10,"Kisumu","Permethrin"
"37",2.20199842904116e-05,10,"Kisumu","Permethrin"
"38",1.08856658492374e-05,10,"Kisumu","Permethrin"
"39",9.35727375551585e-06,10,"Kisumu","Permethrin"
"40",1.57212336731977e-05,10,"Kisumu","Permethrin"
"41",1.60000920568655e-05,10,"Kisumu","Permethrin"
"42",1.15341769833083e-05,10,"Kisumu","Permethrin"
"43",1.75690097725606e-05,10,"Kisumu","Permethrin"
"44",1.26868604457776e-05,10,"Kisumu","Permethrin"
"45",1.22505365306276e-05,10,"Kisumu","Permethrin"
"46",1.39982846506655e-05,10,"Kisumu","Permethrin"
"47",6.35659186765109e-06,10,"Kisumu","Permethrin"
"48",5.88015114591347e-06,10,"Kisumu","Permethrin"
"49",1.48772252036521e-05,10,"Kisumu","Permethrin"
"50",9.80176538909423e-06,10,"Kisumu","Permethrin"
"51",1.31907838493295e-05,10,"Kisumu","Permethrin"
"52",1.62859019480275e-05,10,"Kisumu","Permethrin"
"53",9.16989826332208e-06,10,"Kisumu","Permethrin"
"54",1.30755888586256e-05,10,"Kisumu","Permethrin"
"55",1.2590414992307e-05,10,"Kisumu","Permethrin"
"56",9.01096429534772e-06,10,"Kisumu","Permethrin"
"57",9.78471135672282e-06,10,"Kisumu","Permethrin"
"58",6.90241073204308e-06,10,"Kisumu","Permethrin"
"59",9.87087463178583e-06,10,"Kisumu","Permethrin"
"60",1.26813389101226e-05,10,"Kisumu","Permethrin"
"61",8.44096769869958e-06,10,"Kisumu","Permethrin"
"62",1.08192014985361e-05,10,"Kisumu","Permethrin"
"63",1.00270543577077e-05,10,"Kisumu","Permethrin"
"64",1.28535514140074e-05,10,"Kisumu","Permethrin"
"65",1.3499293523903e-05,10,"Kisumu","Permethrin"
"66",1.25846299405896e-05,10,"Kisumu","Permethrin"
"67",7.56750034644569e-06,10,"Kisumu","Permethrin"
"68",8.34155614562832e-06,10,"Kisumu","Permethrin"
"69",1.33114585272139e-05,10,"Kisumu","Permethrin"
"70",1.29663409817249e-05,10,"Kisumu","Permethrin"
"71",1.19323504677153e-05,10,"Kisumu","Permethrin"
"72",9.89477581647671e-06,10,"Kisumu","Permethrin"
"73",1.47332971939248e-05,10,"Kisumu","Permethrin"
"74",2.27264658608741e-05,10,"Kisumu","Permethrin"
"75",1.37987470705901e-05,10,"Kisumu","Permethrin"
"76",7.78655582486891e-06,10,"Kisumu","Permethrin"
"77",1.19216048345668e-05,10,"Kisumu","Permethrin"
"78",1.47842556375021e-05,10,"Kisumu","Permethrin"
"79",8.47203505197271e-06,10,"Kisumu","Permethrin"
"80",7.95817119290071e-06,10,"Kisumu","Permethrin"
"81",1.21768223480749e-05,10,"Kisumu","Permethrin"
"82",7.48607410576261e-06,10,"Kisumu","Permethrin"
"83",1.25997702459533e-05,10,"Kisumu","Permethrin"
"84",1.17619859402954e-05,10,"Kisumu","Permethrin"
"85",8.20781932998188e-06,10,"Kisumu","Permethrin"
"86",7.40971917151924e-06,10,"Kisumu","Permethrin"
"87",7.93854666922696e-06,10,"Kisumu","Permethrin"
"88",6.88356472737968e-06,10,"Kisumu","Permethrin"
"89",1.24901133868437e-05,10,"Kisumu","Permethrin"
"90",1.16803888664366e-05,10,"Kisumu","Permethrin"
"91",1.5790994175709e-05,10,"Kisumu","Permethrin"
"92",1.23558701055744e-05,10,"Kisumu","Permethrin"
"93",4.45890539980534e-06,10,"Kisumu","Permethrin"
"94",1.11424585645286e-05,10,"Kisumu","Permethrin"
"95",1.13545183286279e-05,10,"Kisumu","Permethrin"
"96",8.79676049011357e-06,10,"Kisumu","Permethrin"
"97",1.10877974913277e-05,10,"Kisumu","Permethrin"
"98",9.73018203474876e-06,10,"Kisumu","Permethrin"
"99",1.26573531691713e-05,10,"Kisumu","Permethrin"
"100",9.93904167693875e-06,10,"Kisumu","Permethrin"
"101",8.3803501894195e-06,10,"Kisumu","Permethrin"
"102",9.16848266196654e-06,10,"Kisumu","Permethrin"
"103",1.30167262785102e-05,10,"Kisumu","Permethrin"
"104",1.15026383415026e-05,10,"Kisumu","Permethrin"
"105",8.62529877660205e-06,10,"Kisumu","Permethrin"
"106",1.15428256787254e-05,10,"Kisumu","Permethrin"
"107",1.10846708124471e-05,10,"Kisumu","Permethrin"
"108",1.4818612691781e-05,10,"Kisumu","Permethrin"
"109",1.12080541057234e-05,10,"Kisumu","Permethrin"
"110",1.48347844952878e-05,10,"Kisumu","Permethrin"
"111",1.22743414561776e-05,10,"Kisumu","Permethrin"
"112",1.57430029042837e-05,10,"Kisumu","Permethrin"
"113",1.04577961411762e-05,10,"Kisumu","Permethrin"
"114",1.07060211514385e-05,10,"Kisumu","Permethrin"
"115",1.05108520932143e-05,10,"Kisumu","Permethrin"
"116",7.1819262136852e-06,10,"Kisumu","Permethrin"
"117",1.74538673661707e-05,10,"Kisumu","Permethrin"
"118",1.004754920494e-05,10,"Kisumu","Permethrin"
"119",7.35094812065139e-06,10,"Kisumu","Permethrin"
"120",6.93998382094844e-06,10,"Kisumu","Permethrin"
"121",1.10376051709576e-05,10,"Kisumu","Permethrin"
"122",1.17419420106011e-05,10,"Kisumu","Permethrin"
"123",1.22639971450951e-05,10,"Kisumu","Permethrin"
"124",1.96581003460773e-05,10,"Kisumu","Permethrin"
"125",5.28647809762875e-06,10,"Kisumu","Permethrin"
"126",8.28729672864808e-06,10,"Kisumu","Permethrin"
"127",1.11225588307102e-05,10,"Kisumu","Permethrin"
"128",8.49061849821112e-06,10,"Kisumu","Permethrin"
"129",1.86877389574733e-05,10,"Kisumu","Permethrin"
"130",1.38492881706743e-05,10,"Kisumu","Permethrin"
"131",1.43427176518738e-05,10,"Kisumu","Permethrin"
"132",1.01041851860135e-05,10,"Kisumu","Permethrin"
"133",1.1457681723049e-05,10,"Kisumu","Permethrin"
"134",1.31080202870874e-05,10,"Kisumu","Permethrin"
"135",9.55958475121719e-06,10,"Kisumu","Permethrin"
"136",1.33447718250873e-05,10,"Kisumu","Permethrin"
"137",1.398790446756e-05,10,"Kisumu","Permethrin"
"138",1.32925686242313e-05,10,"Kisumu","Permethrin"
"139",1.00627401132589e-05,10,"Kisumu","Permethrin"
"140",2.02016664613364e-05,10,"Kisumu","Permethrin"
"141",9.09881728679501e-06,10,"Kisumu","Permethrin"
"142",9.7610002264444e-06,10,"Kisumu","Permethrin"
"143",5.95433623247176e-06,10,"Kisumu","Permethrin"
"144",1.37606354141518e-05,10,"Kisumu","Permethrin"
"145",6.76530602735745e-06,10,"Kisumu","Permethrin"
"146",1.04513219398684e-05,10,"Kisumu","Permethrin"
"147",1.23437823166596e-05,10,"Kisumu","Permethrin"
"148",8.09570146488534e-06,10,"Kisumu","Permethrin"
"149",1.21105183585373e-05,10,"Kisumu","Permethrin"
"150",8.82902722720862e-06,10,"Kisumu","Permethrin"
"151",1.03025549024163e-05,10,"Kisumu","Permethrin"
"152",7.92161163690903e-06,10,"Kisumu","Permethrin"
"153",9.72030130766328e-06,10,"Kisumu","Permethrin"
"154",6.12488955844044e-06,10,"Kisumu","Permethrin"
"155",1.39414484532181e-05,10,"Kisumu","Permethrin"
"156",1.05598547584759e-05,10,"Kisumu","Permethrin"
"157",1.35487873241262e-05,10,"Kisumu","Permethrin"
"158",6.96293116818732e-06,10,"Kisumu","Permethrin"
"159",1.62327866707783e-05,10,"Kisumu","Permethrin"
"160",1.00858940917831e-05,10,"Kisumu","Permethrin"
"161",1.05211877762605e-05,10,"Kisumu","Permethrin"
"162",1.3372429054901e-05,10,"Kisumu","Permethrin"
"163",9.01167140862477e-06,10,"Kisumu","Permethrin"
"164",6.25859874212745e-06,10,"Kisumu","Permethrin"
"165",3.88755918088165e-06,10,"Kisumu","Permethrin"
"166",1.39205949077862e-05,10,"Kisumu","Permethrin"
"167",1.06288178545546e-05,10,"Kisumu","Permethrin"
"168",1.2538756398232e-05,10,"Kisumu","Permethrin"
"169",1.24150086306082e-05,10,"Kisumu","Permethrin"
"170",8.3332471310433e-06,10,"Kisumu","Permethrin"
"171",5.10004485254844e-06,10,"Kisumu","Permethrin"
"172",1.19162520861906e-05,10,"Kisumu","Permethrin"
"173",1.12542639705022e-05,10,"Kisumu","Permethrin"
"174",1.03428179185614e-05,10,"Kisumu","Permethrin"
"175",1.44308580556132e-05,10,"Kisumu","Permethrin"
"176",6.40486837159195e-06,10,"Kisumu","Permethrin"
"177",5.40035028830494e-06,10,"Kisumu","Permethrin"
"178",7.08826715684806e-06,10,"Kisumu","Permethrin"
"179",1.34697653642387e-05,10,"Kisumu","Permethrin"
"180",1.89800763461613e-05,10,"Kisumu","Permethrin"
"181",8.33993996462462e-06,10,"Kisumu","Permethrin"
"182",1.24878943621052e-05,10,"Kisumu","Permethrin"
"183",6.45242739510807e-06,10,"Kisumu","Permethrin"
"184",9.27492322492207e-06,10,"Kisumu","Permethrin"
"185",1.61274693579997e-05,10,"Kisumu","Permethrin"
"186",7.79054827893631e-06,10,"Kisumu","Permethrin"
"187",7.51904784434697e-06,10,"Kisumu","Permethrin"
"188",9.68035799341576e-06,10,"Kisumu","Permethrin"
"189",7.24496344252421e-06,10,"Kisumu","Permethrin"
"190",1.25728734561982e-05,10,"Kisumu","Permethrin"
"191",7.9216760104372e-06,10,"Kisumu","Permethrin"
"192",1.27410236196721e-05,10,"Kisumu","Permethrin"
"193",6.96118462116274e-06,10,"Kisumu","Permethrin"
"194",1.90307197260898e-05,10,"Kisumu","Permethrin"
"195",5.1388213714901e-06,10,"Kisumu","Permethrin"
"196",7.74826954221622e-06,10,"Kisumu","Permethrin"
"197",1.67641508236114e-05,10,"Kisumu","Permethrin"
"198",8.65055231538886e-06,10,"Kisumu","Permethrin"
"199",1.93100141839606e-05,10,"Kisumu","Permethrin"
"200",1.35451136362353e-05,10,"Kisumu","Permethrin"
"201",1.16556783488769e-05,10,"Kisumu","Permethrin"
"202",1.57319126463626e-05,10,"Kisumu","Permethrin"
"203",1.06601576393297e-05,10,"Kisumu","Permethrin"
"204",1.72446650018956e-05,10,"Kisumu","Permethrin"
"205",8.76110821801992e-06,10,"Kisumu","Permethrin"
"206",7.82376950990654e-06,10,"Kisumu","Permethrin"
"207",1.13505099448357e-05,10,"Kisumu","Permethrin"
"208",1.23851785314121e-05,10,"Kisumu","Permethrin"
"209",1.36727059816766e-05,10,"Kisumu","Permethrin"
"210",5.51562170990782e-06,10,"Kisumu","Permethrin"
"211",8.75899182953418e-06,10,"Kisumu","Permethrin"
"212",1.08174253134025e-05,10,"Kisumu","Permethrin"
"213",1.46432768638621e-05,10,"Kisumu","Permethrin"
"214",6.02149664599444e-06,10,"Kisumu","Permethrin"
"215",1.39055035715548e-05,10,"Kisumu","Permethrin"
"216",4.42822646172697e-06,10,"Kisumu","Permethrin"
"217",8.89900726835437e-06,10,"Kisumu","Permethrin"
"218",1.4372177596073e-05,10,"Kisumu","Permethrin"
