"","sim_y","Concentration","act_y","Residuals"
"1",0.0230318848000127,2e-05,0,-0.0230318848000127
"2",0.0233096123951346,4e-05,0.04545454545,0.0221449330548654
"3",0.0237367180417517,6e-05,0,-0.0237367180417517
"4",0.0242812203868038,8e-05,0,-0.0242812203868038
"5",0.0248896724216154,1e-04,0.05555555556,0.0306658831383846
"6",0.0293965846695302,2e-04,0.05263157895,0.0232349942804698
"7",0.0449625515784206,4e-04,0,-0.0449625515784206
"8",0.0735129951752233,6e-04,0.04545454545,-0.0280584497252233
"9",0.123939938945692,8e-04,0.2857142857,0.161774346754308
"10",0.195698588777106,0.001,0.1052631579,-0.0904354308771061
"11",0.99999981859353,0.01,1,1.81406469845768e-07
