"","sim_y","Concentration","act_y","Residuals"
"1",0.0370153763690034,2e-06,0,-0.0370153763690034
"2",0.0761629560910471,6e-06,0.06451612903,-0.0116468270610471
"3",0.212810050581785,1.85e-05,0.2083333333,-0.00447671728178506
"4",0.560430481205513,5.5e-05,0.6216216216,0.0611911403944868
"5",0.921355219011304,0.00016,0.8974358974,-0.0239193216113041
"6",0.998979650975318,5e-04,1,0.00102034902468207
