"","Strain","Insecticide","var","Estimate","Std..Error","t.value","Pr...t..","r2","RMSE"
"1","Tiassale-13","Permethrin","(Intercept)",-0.680231595537578,0.6386301251572,-1.06514172874344,0.327786356781406,0.999529635369435,0.925416908209427
"2","Tiassale-13","Permethrin","Mortality_sim_perc",1.00783973443755,0.00892555729952516,112.916168774264,3.25259965713929e-11,0.999529635369435,0.925416908209427
