"","V1","Application","Strain","Insecticide","Dose","Intensity","Subjects","Responded","Mortality_perc","lower","upper","dat"
"47",NA,NA,"Tiassale-13","Permethrin",0.0114243717896715,NA,NA,NA,85.4643749935786,72.5199895620181,95.3185312259158,"sim"
"48",NA,NA,"Tiassale-13","Permethrin",0.0120335661302565,NA,NA,NA,86.7359117119545,74.051918825181,96.0831447513795,"sim"
"49",NA,NA,"Tiassale-13","Permethrin",0.0126585837004671,NA,NA,NA,87.903789844093,75.495817507619,96.7187804710514,"sim"
"50",NA,NA,"Tiassale-13","Permethrin",0.0132994245003032,NA,NA,NA,88.9743072234258,77.0079419058151,97.2719910462667,"sim"
"51",NA,NA,"Tiassale-13","Permethrin",0.0139560885297649,NA,NA,NA,89.9538006524627,78.3790833600157,97.7452488774205,"sim"
"52",NA,NA,"Tiassale-13","Permethrin",0.0146285757888522,NA,NA,NA,90.8485536526385,79.7272177978736,98.1450757322849,"sim"
"53",NA,NA,"Tiassale-13","Permethrin",0.0153168862775651,NA,NA,NA,91.6647199538349,80.8835601108421,98.5106189920395,"sim"
"54",NA,NA,"Tiassale-13","Permethrin",0.0160210199959036,NA,NA,NA,92.4082619308168,81.9473611035203,98.7922972226687,"sim"
"55",NA,NA,"Tiassale-13","Permethrin",0.0167409769438677,NA,NA,NA,93.0849028732264,82.8796016647184,99.0355332079143,"sim"
"56",NA,NA,"Tiassale-13","Permethrin",0.0174767571214573,NA,NA,NA,93.7000917554938,83.8944814193779,99.2255790294064,"sim"
"57",NA,NA,"Tiassale-13","Permethrin",0.0182283605286726,NA,NA,NA,94.258979045,84.7963857958401,99.3860049002522,"sim"
"58",NA,NA,"Tiassale-13","Permethrin",0.0189957871655134,NA,NA,NA,94.7664020391311,85.6008033484667,99.5079990954705,"sim"
"59",NA,NA,"Tiassale-13","Permethrin",0.0197790370319798,NA,NA,NA,95.2268782403024,86.4202694600013,99.6143366217996,"sim"
"60",NA,NA,"Tiassale-13","Permethrin",0.0205781101280718,NA,NA,NA,95.6446053476929,87.1327382788143,99.6934150090823,"sim"
"61",NA,NA,"Tiassale-13","Permethrin",0.0213930064537893,NA,NA,NA,96.0234665508151,87.8471576438615,99.7629260586293,"sim"
"62",NA,NA,"Tiassale-13","Permethrin",0.0222237260091325,NA,NA,NA,96.367039940023,88.5806896475745,99.8163753470171,"sim"
"63",NA,NA,"Tiassale-13","Permethrin",0.0230702687941012,NA,NA,NA,96.6786109913502,89.2151845494441,99.8584040966603,"sim"
"64",NA,NA,"Tiassale-13","Permethrin",0.0239326348086955,NA,NA,NA,96.9611872285591,89.7889041714825,99.8906095423511,"sim"
"65",NA,NA,"Tiassale-13","Permethrin",0.0248108240529154,NA,NA,NA,97.2175143070049,90.354241200145,99.9154433598118,"sim"
"66",NA,NA,"Tiassale-13","Permethrin",0.0257048365267609,NA,NA,NA,97.4500928969211,90.8729495785467,99.9355024165123,"sim"
"67",NA,NA,"Tiassale-13","Permethrin",0.026614672230232,NA,NA,NA,97.6611958648355,91.377339540441,99.9507537671642,"sim"
"68",NA,NA,"Tiassale-13","Permethrin",0.0275403311633287,NA,NA,NA,97.8528853592793,91.8174116846352,99.9622308325463,"sim"
"69",NA,NA,"Tiassale-13","Permethrin",0.0284818133260509,NA,NA,NA,98.0270295001524,92.2513330360516,99.9707283420034,"sim"
"70",NA,NA,"Tiassale-13","Permethrin",0.0294391187183987,NA,NA,NA,98.1853184502846,92.6688725002702,99.978405605545,"sim"
"71",NA,NA,"Tiassale-13","Permethrin",0.0304122473403721,NA,NA,NA,98.3292797136875,93.0720130233107,99.9839092142287,"sim"
