"","Mort_C","Strain","Insecticide"
"111",0.0295367376490067,"FUMOZ-R","Permethrin"
"112",0.0301695343737268,"FUMOZ-R","Permethrin"
"113",0.0444958219825775,"FUMOZ-R","Permethrin"
"114",0.0350162580861661,"FUMOZ-R","Permethrin"
"115",0.0543948117030515,"FUMOZ-R","Permethrin"
"116",0.0431916809802697,"FUMOZ-R","Permethrin"
"117",0.036398758082719,"FUMOZ-R","Permethrin"
"118",0.0366142949879959,"FUMOZ-R","Permethrin"
"119",0.0274873142292431,"FUMOZ-R","Permethrin"
"120",0.0362656206734935,"FUMOZ-R","Permethrin"
"121",0.0289974007658912,"FUMOZ-R","Permethrin"
"122",0.0348453750645304,"FUMOZ-R","Permethrin"
"123",0.0435545071845719,"FUMOZ-R","Permethrin"
"124",0.0317059828817215,"FUMOZ-R","Permethrin"
"125",0.0333617375866823,"FUMOZ-R","Permethrin"
"126",0.0421759203384274,"FUMOZ-R","Permethrin"
"127",0.050027559617873,"FUMOZ-R","Permethrin"
"128",0.031474516736208,"FUMOZ-R","Permethrin"
"129",0.0266576213895251,"FUMOZ-R","Permethrin"
"130",0.0276322328938895,"FUMOZ-R","Permethrin"
"131",0.0275040983825851,"FUMOZ-R","Permethrin"
"132",0.031255486171798,"FUMOZ-R","Permethrin"
"133",0.0501240720529134,"FUMOZ-R","Permethrin"
"134",0.0617419473293118,"FUMOZ-R","Permethrin"
"135",0.0443851141490553,"FUMOZ-R","Permethrin"
"136",0.0338521012677318,"FUMOZ-R","Permethrin"
"137",0.0423293340216169,"FUMOZ-R","Permethrin"
"138",0.0297173062698187,"FUMOZ-R","Permethrin"
"139",0.0334872113006947,"FUMOZ-R","Permethrin"
"140",0.0283272178922852,"FUMOZ-R","Permethrin"
"141",0.0448517239999335,"FUMOZ-R","Permethrin"
"142",0.038458693072407,"FUMOZ-R","Permethrin"
"143",0.0377462113473679,"FUMOZ-R","Permethrin"
"144",0.0340258201023853,"FUMOZ-R","Permethrin"
"145",0.0195296523013848,"FUMOZ-R","Permethrin"
"146",0.0191734057505738,"FUMOZ-R","Permethrin"
"147",0.0385024101510326,"FUMOZ-R","Permethrin"
"148",0.0267520613027185,"FUMOZ-R","Permethrin"
"149",0.0513861518490418,"FUMOZ-R","Permethrin"
"150",0.03959294143346,"FUMOZ-R","Permethrin"
"151",0.0288167094792623,"FUMOZ-R","Permethrin"
"152",0.0284318771914615,"FUMOZ-R","Permethrin"
"153",0.0206357046498577,"FUMOZ-R","Permethrin"
"154",0.0479359367127218,"FUMOZ-R","Permethrin"
"155",0.0459319754780157,"FUMOZ-R","Permethrin"
"156",0.0348360090595786,"FUMOZ-R","Permethrin"
"157",0.0324075561429377,"FUMOZ-R","Permethrin"
"158",0.0431292767614685,"FUMOZ-R","Permethrin"
"159",0.0327347174898715,"FUMOZ-R","Permethrin"
"160",0.0392440035778292,"FUMOZ-R","Permethrin"
"161",0.0392568154604672,"FUMOZ-R","Permethrin"
"162",0.0315262400948178,"FUMOZ-R","Permethrin"
"163",0.0473150189520219,"FUMOZ-R","Permethrin"
"164",0.045593082264592,"FUMOZ-R","Permethrin"
"165",0.0346347205059526,"FUMOZ-R","Permethrin"
"166",0.0399938714710004,"FUMOZ-R","Permethrin"
"167",0.0397071182031338,"FUMOZ-R","Permethrin"
"168",0.0255719441763488,"FUMOZ-R","Permethrin"
"169",0.0280504039412217,"FUMOZ-R","Permethrin"
"170",0.0378714480726179,"FUMOZ-R","Permethrin"
"171",0.0389444590370107,"FUMOZ-R","Permethrin"
