"","V1","Application","Strain","Insecticide","Dose","Intensity","Subjects","Responded","Mortality_perc","Mortality_sim_perc"
"1",84,"Tarsal","VK72014","Permethrin",0.002,0.00266,31,4,12.90322581,22.0512220421369
"2",85,"Tarsal","VK72014","Permethrin",0.003,0.00399,32,17,53.125,32.7891552847986
"3",86,"Tarsal","VK72014","Permethrin",0.004,0.00532,29,15,51.72413793,44.5262672323687
"4",87,"Tarsal","VK72014","Permethrin",0.005,0.00665,54,22,40.74074074,55.8738046174352
"5",88,"Tarsal","VK72014","Permethrin",0.006,0.00798,42,28,66.66666667,66.0389992263986
"6",89,"Tarsal","VK72014","Permethrin",0.007,0.00931,44,34,77.27272727,74.6168665090247
"7",90,"Tarsal","VK72014","Permethrin",0.01,0.0133,22,21,95.45454545,90.6145939111112
"8",91,"Tarsal","VK72014","Permethrin",0.05,0.0665,23,23,100,99.9999929645691
